,name,artist,release_date,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
172,Feels Like We Only Go Backwards,Tame Impala,2012-01-01,0,0.291,0.0276,0.291,0.897,0.65,0.116,-2.32,0.0542,150.185,4,0.555
173,Qué bonito,Bomba Estéreo,2014-04-01,0,0.633,0.000703,0.633,0.944,0.00722,0.125,-5.549,0.0513,133.99,4,0.762
174,Sirens,Satellite Stories,2012-08-17,0,0.343,0.0019,0.343,0.916,0.0,0.15,-3.841,0.086,158.176,4,0.452
175,Heaven,Popstrangers,2012,0,0.169,0.000436,0.169,0.604,0.0147,0.295,-7.884,0.0396,213.749,4,0.604
176,Don't Forget Who You Are,Miles Kane,2013-04-10,39,0.462,0.000732,0.462,0.953,1e-05,0.0905,-2.28,0.0361,93.986,4,0.387
177,Itchin' on a Photograph,Grouplove,2011-09-02,53,0.501,0.137,0.501,0.877,0.0,0.309,-6.369,0.0484,96.993,4,0.268
178,Colours,Grouplove,2011-09-02,59,0.529,0.0211,0.529,0.83,0.0,0.0983,-5.428,0.0397,93.933,4,0.318
179,Your Wildest Dreams,The Moody Blues,1986-01-01,0,0.534,0.289,0.534,0.582,0.0338,0.283,-15.997,0.0374,141.362,4,0.653
180,My Type,Saint Motel,2014-06-17,65,0.596,0.0641,0.596,0.897,5.24e-05,0.0628,-2.94,0.0462,118.0,4,0.578
181,Spun,Grouplove,2011-09-02,39,0.424,0.00262,0.424,0.851,2.21e-05,0.232,-6.143,0.0385,155.018,4,0.397
182,Sandstorm,Popstrangers,2014-05-26,0,0.435,0.0455,0.435,0.6,5.7e-06,0.112,-6.416,0.0296,105.057,4,0.153
183,Country Kills,Popstrangers,2014-05-26,0,0.499,0.00568,0.499,0.645,0.0,0.242,-5.812,0.0377,131.01,4,0.781
184,Don't Be Afraid,Popstrangers,2014-05-26,0,0.582,0.146,0.582,0.73,5.23e-05,0.078,-6.292,0.0434,167.146,4,0.667
185,First Day Of My Life,Bright Eyes,2005-01-25,69,0.602,0.915,0.602,0.201,8.28e-05,0.0952,-17.024,0.0363,95.345,4,0.385
186,At The Bottom Of Everything,Bright Eyes,2005-01-25,48,0.495,0.665,0.495,0.46,0.0,0.325,-11.221,0.0897,107.325,4,0.822
187,Road To Joy,Bright Eyes,2005-01-25,47,0.321,0.032,0.321,0.591,0.0017,0.115,-8.568,0.0302,146.658,4,0.122
